article_number,consolidated_price,master_price,price_difference,price_difference_pct,has_discrepancy
1572637,14.95,23.42,-8.470000000000002,-36.165670367207525,True
58317,31.63,31.63,0.0,0.0,False
1492120,33.45,32.78,0.6700000000000017,2.0439292251372843,True
1636793,39.21,46.21,-7.0,-15.148236312486475,True
1601388,42.0,40.74,1.259999999999998,3.092783505154634,True
1572852,33.81,54.14,-20.33,-37.55079423716291,True
1583596,40.8,39.58,1.2199999999999989,3.0823648307225846,True
20799,8.5,6.5,2.0,30.76923076923077,True
24545,22.95,35.89,-12.940000000000001,-36.054611312343276,True
1656154,37.18,36.43,0.75,2.05874279440022,True
1523642,56.0,51.22,4.780000000000001,9.332292073408826,True
1598601,44.84,70.27,-25.429999999999993,-36.18898534225131,True
1552854,37.4,52.77,-15.370000000000005,-29.126397574379386,True
1546226,68.1,114.07,-45.97,-40.299815902516,True
21061,28.2,28.2,0.0,0.0,False
1588664,68.0,77.22,-9.219999999999999,-11.939911939911939,True
60294,8.5,5.5,3.0,54.54545454545454,True
1502215,18.0,29.68,-11.68,-39.35309973045822,True
1600847,34.4,34.53,-0.13000000000000256,-0.37648421662323356,True
1660434,52.08,63.8,-11.719999999999999,-18.369905956112852,True
1522578,46.34,53.62,-7.279999999999994,-13.577023498694507,True
1532480,29.89,46.85,-16.96,-36.20064034151548,True
1597276,59.54,93.31,-33.77,-36.19119065480656,True
1674680,33.01,53.92,-20.910000000000004,-38.77967359050445,True
1552086,91.05,122.6,-31.549999999999997,-25.734094616639474,True
20679,4.97,0.0,4.97,0.0,True
1644781,30.31,30.31,0.0,0.0,False
1540565,32.71,32.05,0.6600000000000037,2.0592823712948634,True
2265979,161.07,157.88,3.1899999999999977,2.0205219153787675,True
1666114,52.12,61.42,-9.300000000000004,-15.14164767176816,True
1598492,14.46,22.66,-8.2,-36.18711385701677,True
1472333,23.47,27.89,-4.420000000000002,-15.847974184295452,True
1623043,68.0,65.96,2.0400000000000063,3.092783505154649,True
1649750,59.95,97.92,-37.97,-38.776552287581694,True
27707,34.91,34.91,0.0,0.0,False
1689547,55.62,87.17,-31.550000000000004,-36.19364460250086,True
1636937,43.01,50.53,-7.520000000000003,-14.882248169404319,True
1644273,78.0,85.75,-7.75,-9.037900874635568,True
1529335,72.8,86.8,-14.0,-16.129032258064516,True
1537805,16.53,18.69,-2.16,-11.556982343499197,True
1623354,5.73,5.56,0.17000000000000082,3.0575539568345476,True
976311,13.2,13.2,0.0,0.0,False
22269,8.5,8.5,0.0,0.0,False
1627848,32.83,51.46,-18.630000000000003,-36.20287602020988,True
1609547,27.73,32.95,-5.220000000000002,-15.842185128983314,True
1533252,29.4,46.08,-16.68,-36.19791666666667,True
1524419,43.61,68.35,-24.739999999999995,-36.19604974396488,True
1741941,19.85,23.4,-3.549999999999997,-15.170940170940158,True
1611301,55.03,64.87,-9.840000000000003,-15.16879913673501,True
25294,8.3,8.3,0.0,0.0,False
27759,12.9,12.9,0.0,0.0,False
1658118,52.0,50.44,1.5600000000000023,3.0927835051546437,True
22395,19.67,25.6,-5.93,-23.1640625,True
1606338,32.55,53.17,-20.620000000000005,-38.78126763212338,True
1661730,34.0,40.21,-6.210000000000001,-15.443919423029099,True
1665544,87.26,105.95,-18.689999999999998,-17.640396413402545,True
1747252,59.6,57.81,1.7899999999999991,3.096350112437293,True
1491979,27.49,26.94,0.5499999999999972,2.041573867854481,True
1633856,51.7,50.05,1.6500000000000057,3.2967032967033085,True
1656311,63.92,62.64,1.2800000000000011,2.0434227330779073,True
1582049,23.67,27.9,-4.229999999999997,-15.161290322580633,True
22432,6.25,6.25,0.0,0.0,False
23298,4.3,4.3,0.0,0.0,False
1533652,9.31,13.06,-3.75,-28.713629402756506,True
1607847,73.8,83.81,-10.010000000000005,-11.943682138169676,True
1663884,34.0,40.07,-6.07,-15.148490142251061,True
1671894,26.95,38.02,-11.070000000000004,-29.11625460284062,True
23783,7.140000000000001,7.14,8.881784197001252e-16,1.243947366526786e-14,False
1643937,54.75,60.19,-5.439999999999998,-9.038046187074261,True
1650876,57.08,71.13,-14.049999999999997,-19.752565724729365,True
1635518,39.9,48.31,-8.410000000000004,-17.408404057131037,True
1660080,39.21,46.21,-7.0,-15.148236312486475,True
1601153,83.2,80.7,2.5,3.097893432465923,True
84463,5.0,5.0,0.0,0.0,False
1655240,67.8,103.89,-36.09,-34.73866589662143,True
960590,3.5,3.5,0.0,0.0,False
28948,3.9,3.9,0.0,0.0,False
1550816,118.3,158.89,-40.58999999999999,-25.545975202970606,True
8589736,38.47,60.29,-21.82,-36.19173992370211,True
24272,66.32000000000001,52.12,14.20000000000001,27.244819646968555,True
28610,8.86,8.86,0.0,0.0,False
1658258,69.96000000000001,67.51,2.450000000000003,3.629091986372393,True
1581270,63.33,89.58,-26.25,-29.303415941058276,True
1658130,66.0,64.02,1.980000000000004,3.0927835051546455,True
1596964,30.14,47.23,-17.089999999999996,-36.184628414143546,True
1652037,40.67,63.74,-23.07,-36.19391277063069,True
1713787,53.52,52.45,1.0700000000000003,2.040038131553861,True
1565219,85.46000000000001,85.46,1.4210854715202004e-14,1.662866219892582e-14,False
1601224,58.98,58.98,0.0,0.0,False
924972,11.4,11.4,0.0,0.0,False
22238,3.0,3.0,0.0,0.0,False
1549037,102.75,112.96,-10.209999999999994,-9.038597733711043,True
1596863,57.82,94.08,-36.26,-38.541666666666664,True
1729853,39.0,61.15,-22.15,-36.22240392477514,True
1540955,11.0,16.65,-5.649999999999999,-33.93393393393393,True
1590568,38.47,60.29,-21.82,-36.19173992370211,True
25740,13.9,13.9,0.0,0.0,False
1627157,23.52,36.86,-13.34,-36.19099294628324,True
1625058,62.32,61.07,1.25,2.0468315048305223,True
20432,7.08,7.08,0.0,0.0,False
1700230,150.51,150.51,0.0,0.0,False
1588586,27.0,34.67,-7.670000000000002,-22.122872800692246,True
1740812,71.4,98.12,-26.72,-27.231960864247856,True
23081,7.61,7.61,0.0,0.0,False
1607863,38.03,44.0,-5.969999999999999,-13.568181818181815,True
51679,3.5,3.5,0.0,0.0,False
1737857,62.78,59.33,3.450000000000003,5.814933423226029,True
1594599,39.21,46.21,-7.0,-15.148236312486475,True
