article_number,price,source
1720550,51.97,Both (Tabelle1 priority)
1722810,59.92,Both (Tabelle1 priority)
1722811,59.92,Both (Tabelle1 priority)
1722812,59.92,Both (Tabelle1 priority)
1722813,59.92,Both (Tabelle1 priority)
1722814,59.92,Both (Tabelle1 priority)
1722815,59.92,Both (Tabelle1 priority)
1722827,54.9,Both (Tabelle1 priority)
1722828,54.9,Both (Tabelle1 priority)
1722829,54.9,Both (Tabelle1 priority)
1722832,52.9,Both (Tabelle1 priority)
1722843,58.32000000000001,Both (Tabelle1 priority)
1722851,58.32000000000001,Both (Tabelle1 priority)
1722854,58.32000000000001,Both (Tabelle1 priority)
1722862,65.52000000000001,Both (Tabelle1 priority)
1722877,65.52000000000001,Both (Tabelle1 priority)
1722918,65.52000000000001,Both (Tabelle1 priority)
1723605,138.37,Both (Tabelle1 priority)
1723658,92.89,Both (Tabelle1 priority)
1723662,92.89,Both (Tabelle1 priority)
1723664,76.0,Both (Tabelle1 priority)
1723669,92.89,Both (Tabelle1 priority)
1723672,104.63,Both (Tabelle1 priority)
1723676,104.63,Both (Tabelle1 priority)
1723687,104.63,Both (Tabelle1 priority)
1723707,92.89,Both (Tabelle1 priority)
1723720,104.15,Both (Tabelle1 priority)
1723736,124.88,Both (Tabelle1 priority)
1723761,104.15,Both (Tabelle1 priority)
1723793,98.52,Both (Tabelle1 priority)
1723797,87.26,Both (Tabelle1 priority)
1723807,87.26,Both (Tabelle1 priority)
1723812,138.37,Both (Tabelle1 priority)
1723896,138.37,Both (Tabelle1 priority)
1723897,92.89,Both (Tabelle1 priority)
1723910,76.0,Both (Tabelle1 priority)
1723919,87.26,Both (Tabelle1 priority)
1723927,104.15,Both (Tabelle1 priority)
1723940,98.52,Both (Tabelle1 priority)
1723950,124.88,Both (Tabelle1 priority)
1723967,138.37,Both (Tabelle1 priority)
1724577,133.5,Both (Tabelle1 priority)
1724578,133.5,Both (Tabelle1 priority)
1724591,69.75,Both (Tabelle1 priority)
1724594,69.75,Both (Tabelle1 priority)
1724607,60.75,Both (Tabelle1 priority)
1724610,60.75,Both (Tabelle1 priority)
1724614,60.75,Both (Tabelle1 priority)
1724623,54.75,Both (Tabelle1 priority)
1724624,54.75,Both (Tabelle1 priority)
1724921,72.0,Both (Tabelle1 priority)
1724922,72.0,Both (Tabelle1 priority)
1724929,72.0,Both (Tabelle1 priority)
1724930,72.0,Both (Tabelle1 priority)
1724948,39.0,Both (Tabelle1 priority)
1724949,39.0,Both (Tabelle1 priority)
1724956,50.25,Both (Tabelle1 priority)
1724957,50.25,Both (Tabelle1 priority)
1724966,39.0,Both (Tabelle1 priority)
1725764,32.800000000000004,Both (Tabelle1 priority)
1725766,32.800000000000004,Both (Tabelle1 priority)
1725893,22.54,Both (Tabelle1 priority)
1725953,14.945,Both (Tabelle1 priority)
1725954,15.924999999999999,Both (Tabelle1 priority)
1725955,14.945,Both (Tabelle1 priority)
1725992,46.5,Both (Tabelle1 priority)
1726001,51.5,Both (Tabelle1 priority)
1726048,51.5,Both (Tabelle1 priority)
1726056,27.685,Both (Tabelle1 priority)
1726059,27.685,Both (Tabelle1 priority)
1726087,57.5,Both (Tabelle1 priority)
1726091,57.5,Both (Tabelle1 priority)
1726092,57.5,Both (Tabelle1 priority)
1726102,31.849999999999998,Both (Tabelle1 priority)
1726106,44.589999999999996,Both (Tabelle1 priority)
1726187,15.924999999999999,Both (Tabelle1 priority)
1726190,8.33,Both (Tabelle1 priority)
1726191,8.33,Both (Tabelle1 priority)
1726192,8.33,Both (Tabelle1 priority)
1726204,11.76,Both (Tabelle1 priority)
1726205,11.76,Both (Tabelle1 priority)
1726206,11.76,Both (Tabelle1 priority)
1726207,11.76,Both (Tabelle1 priority)
1726237,43.0,Both (Tabelle1 priority)
1726251,78.0,Both (Tabelle1 priority)
1726252,78.0,Both (Tabelle1 priority)
1726319,70.4,Both (Tabelle1 priority)
1726321,70.4,Both (Tabelle1 priority)
1726338,86.075,Both (Tabelle1 priority)
1726339,86.075,Both (Tabelle1 priority)
1726344,70.4,Both (Tabelle1 priority)
1726346,83.325,Both (Tabelle1 priority)
1726349,78.375,Both (Tabelle1 priority)
1726364,86.075,Both (Tabelle1 priority)
1726702,18.2,Both (Tabelle1 priority)
1726703,18.2,Both (Tabelle1 priority)
1726706,18.2,Both (Tabelle1 priority)
1726710,18.2,Both (Tabelle1 priority)
